user_id,review_id,text,date,stars,useful,funny,target,sentiment_score,rule1_threshold,rule5_threshold,rule2_threshold,rule4_threshold,similarity_score,rule6_threshold,rule3_threshold
qVc8ODYU5SZjKXVBgXdI7w,Egy2a4qZeXGr2aY6KMxxbg,"Remarkable food with beach access for the whole family, flip flops acceptable.  You step up to the counter, order, get a number and bus you own food to a table inside or out.  The locals know about this place and really love it just as we did on our first visit.  Highly recommended.  Probably good enough to drive from Santa Barbara to eat here.  Local beer on tap, kids are more than welcome.",2017-05-09 23:21:36,5,0,0,genuine,0.4054545454545454,1,0,0,1,1.0,1,1
qVc8ODYU5SZjKXVBgXdI7w,01vN0q6aMlFio6HAjLZz7Q,I loved everything about this lovely train station.  The staff was friendly and helpful.  The station was beautiful.  Every aspect of passing through was wonderful.  It is a great place.  Thank you Philadelphia for making our vacation special and providing such a great place.,2009-05-01 02:00:03,5,30,7,genuine,0.5980158730158729,1,1,0,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,iMpqDa0Oyukiw5406KYNRw,"The Praline Connection makes a mean po' boy.  The restaurant is located just outside the French Market on Frenchman St, in a lower-key, musically-influenced area of town.  I was looking forward to trying out their fried oyster po' boy, but unfortunately, the restaurant was out of oysters.  They use only Louisiana oysters and because of the oil spill in the Gulf, they cannot serve any dishes with oysters.  Boo.\n\nI subbed in a fish (catfish, I assume) po' boy instead and it was delectable.  It had catfish, shredded lettuce, slices of tomato, mayo, and pickles, inside a loaf of French bread.  With a side of fries, it was yummy and filling.\n\nSmall note on the fries: the menus have printed the fries are only $1.50 extra when ordered with a po' boy.  However, the restaurant charged us $2.00 and the server told us there was a sign out front that noted the change.  The menus still say $1.50 though.  The restaurant needs to correct this.  How are you just going to leave incorrect pricing in your menu (50 cents isn't a lot, but it's the principle)?\n\nWe were told by our waitress to try their fried chicken next time.  The waiters and waitresses are dressed in white dress shirts and black slacks with black top hats and suspenders.  The floor is tiled in black and white tiles.  The restaurant is connected to a small praline/candy shop where you can buy fresh daily-made pralines.  The pralines are about $2 apiece.  I bought a few of the original on my way out and they were pretty good.  Super sugary for sure.",2010-10-11 19:24:56,3,3,1,fake,0.0248263888888888,0,1,1,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,3pCHQ8YHkuaZFFAEz7pz6A,"We walked over to Tennessee Brew Works, one of Nashville's popular craft breweries, after hitting up Jack White's Third Man Records shop nearby. Both businesses are located in Pie Town, a neighborhood on the southern edge of downtown Nashville. There's not a whole lot of stuff in this part of town. These are definitely two of the highlights.\n\nTennessee Brew Works opened on August 18, 2013. It's popular. This place has won numerous awards and earned plenty of recognition including the best brewery in Tennessee according to Yelp. These folks are all about being local, green, and sustainable. The taproom is two stories with views of the brewery from both floors. There's a patio with both covered and uncovered spaces (mostly uncovered) as well as a small, string-lit rooftop patio. As this is a brewery, the property has an industrial, warehouse feel to it, much like the other businesses in Pie Town. It's clean and modernized. The first floor of the brewery features a small stage for live music (a band was setting up on our way out) and the room upstairs, which is much more spacious, has TVs playing sports and nice overhead views of the brewery floor below.\n\nBrewery tours take place every Saturday at 3pm, 4pm, and 5pm. It costs $10 plus tax and a fee per person. Tickets for the tour can be purchased online.\n\nAlong with high-quality craft beer, the brewery also serves food. Their limited menu includes apps/snacks like Baja fish tacos, Springer Mountain chicken wings, salads, burgers, and sandwiches (including a Nashville Hot Chicken Sandwich). Food prices range from $8 to $18 per plate.\n\nWe grabbed a few beers and hung out inside the taproom downstairs. Downstairs, they use barrels (some with tabletops) for tables with bar stools. We showed up around 2pm on a Saturday and the place was busy. It wasn't slammed or jam-packed, but most of the tables upstairs and downstairs were taken. Our group of six was lucky to find a table in a corner next to some brewery windows. The atmosphere was very relaxed and laid back. The staff was cool and friendly. We all enjoyed our time here.\n\nI don't think Tennessee Brew Works has dedicated parking. We parked for free on the street (Middleton Street because we also went to Third Man Records). This isn't the nicest neighborhood so I wouldn't leave any valuables in your car.",2018-10-23 14:24:32,4,12,5,genuine,0.144998244998245,1,1,1,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,FvTfqugdlzQSvFB1RAafNQ,"Logan Circle, also known as Logan Square, is a public park located in the center of the Logan Square neighborhood (yes, same name) in Philadelphia. It's managed by the city's Parks & Rec department. This is a great sightseeing spot in Philly. I recommend it. The views are beautiful.\n\nSome quick Q&A:\n\n1. Why is it called Logan Circle?\n\nBecause it serves as a major traffic circle for Benjamin Franklin Parkway (https://www.yelp.com/biz/ben-franklin-parkway-philadelphia), connecting it to North 19th Street, Vine Street, and Race Street.\n\n2. Why is it called Logan Square?\n\nBecause it was one of five squares originally planned for the city in 1864 by William Penn, founder of Pennsylvania.\n\n3. Who is the circle/square named after?\n\nJames Logan, 14th mayor of Philadelphia.\n\nLogan Circle is actually surrounded by three other parks: Aviator Park, Sister Cities Park, and Shakespeare Park (small). Combined, the land area for these four parks, including the roads (Benjamin Franklin Parkway is wide and scenic) is about four city blocks. So for a city park, it's not huge, but not small neither.\n\nThe highlight of Logan Circle is a large fountain in the center called the Swann Memorial Fountain: https://www.yelp.com/biz/swann-memorial-fountain-philadelphia-2. We visited on a bright and sunny Sunday afternoon and the park was filled with people, both locals and tourists. Even though there were signs that said no swimming in the fountain, I can't tell you how many kids I saw swimming and playing in the fountain. A lot. It almost looked more like a pool or water park than a historic fountain.\n\nLogan Circle is centrally-located between Philadelphia City Hall and the Philadelphia Museum of Art (Rocky Steps: https://www.yelp.com/biz/rocky-steps-philadelphia). Benjamin Franklin Parkway connects all of it. If you've never been to Philly before and want to sight-see, I think walking the parkway between city hall and the museum is a must. Including the aforementioned adjacent parks, Logan Circle is surrounded by sights and attractions including the Franklin Institute, the Academy of Natural Sciences of Drexel University, and the Cathedral Basilica of Saints Peter and Paul.\n\nNote: At the time of writing this review, there's another Yelp listing for Logan Circle. It's called Logan Square Park: https://www.yelp.com/biz/logan-square-park-philadelphia. Technically, the two listings should be merged, but the Yelp moderators disagree.",2019-08-04 12:29:33,4,5,0,genuine,0.1406573498964803,1,1,1,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,bI2WySNWJYzAudmArswvAA,"I had a great experience with Assurant. I purchased my old Google Pixel phone from the Google Store (online). One of the options I could add to my phone was Device Protection for $99. Device protection is the same thing as phone insurance and Assurant was the provider.\n\nThe coverage I purchased was good for two years from the date I received my phone. The maximum number of accidental damage repairs or replacements under Device Protection was two during the coverage period. My Pixel's camera lenses, both front and back, got scratched. The scratches caused light streaks in my photos and videos so I decided to file a claim and get a replacement.\n\nPer the Device Protection welcome and terms and conditions email I got from Assurant, I filed my claim at https://mydeviceprotect.com/. It was really quick and easy to do, especially since Assurant had most of my information on file from my phone's IMEI/serial number. I filed my claim on a Friday night. In less than 24 hours, someone from Assurant called to verify my information and approve my claim. I received a claim approval email after the call and a shipping notification that Monday (first business day after my claim was approved). I received my replacement Pixel on Tuesday afternoon; basically, in two business days. Fast!\n\nI did have to pay a $79 deductible, but it was totally worth it to me. It was like I got a brand new Pixel for only $178 ($99 for Device Protection + $79 deductible). Technically, the phone was refurbished, but it looked and worked like new - the battery too, which was huge, since my old battery was on its way out. Considering my particular phone model at the time, a 32-GB Pixel 1, originally retailed for $649, I thought this was a good deal. Plus, I had one more replacement remaining on my contract before my two years were up. It was nice to have that peace of mind.\n\nGoogle made it easy to transfer all of my apps and data from my old Pixel to my new Pixel. I just connected the two phones with a USB-C cable and followed the prompts. The entire transfer took about an hour (my new Pixel had to download and install almost 100 apps). I was really pleased with how simple and seamless the transition was. My old phone was essentially mirrored to my new one which was exactly what I wanted. I did have to set up new fingerprint recognition and log in to all of my apps again, but that was it. I was back up and running with a ""new"" phone with hardly any interruption.\n\nI returned my old Pixel in the same packaging that my new Pixel came in. Assurant emailed me a shipping label to print and tape to the outside of the box. I had to return my old Pixel within 14 days from the date my new Pixel was shipped. Otherwise, I could've been charged an ""unrecovered equipment fee"" of up to $2,000.\n\nIn the end, I am very happy with the Device Protection I purchased from Assurant. I already bought it again for my latest phone, the Pixel 3, for $129 (unsurprisingly, the insurance price went up).",2019-02-03 16:24:22,5,8,8,genuine,0.23286951144094,1,1,1,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,xNTO7hUoAIx9I2uL0s8K-g,"The Philadelphia Phillies are one of the oldest American professional sports franchises, established in 1883. Unlike other storied teams, the Fightin' Phils have never left their original city.\n\nIt took nearly 100 years, but the Phillies were able to win their first World Series championship in 1980 and then again, 28 years later, in 2008. In 1980, future Hall-of-Famer and perhaps the greatest third baseman of all time, Mike Schmidt, led Philadelphia to a 4-2 series win over the Kansas City Royals. In 2008, four-time All-Star pitcher Cole Hamels led Philly in a dominating series performance over the Tampa Bay Rays, 4-1. (Since 2020, Hamels has played for my favorite team, the Atlanta Braves.)\n\nThe Phillies play at Citizens Bank Park, located in South Philly. The ballpark opened in 2004 and is part of the South Philadelphia Sports Complex which includes the adjacent Lincoln Financial Field (home of the NFL's Philadelphia Eagles) and Wells Fargo Center (home of the NBA's Philadelphia 76ers). You can see the complex from the interstate (I-95) as you drive into the city from the airport. It's just across the Delaware River from New Jersey.\n\nThe Phillies haven't done well since 2011, the last year they made the playoffs. From 2012 to present, they've yet to finish a single season above .500 (they finished at exactly .500 twice, in 2012 and 2019), a far cry from their 2008 championship. However, the Charlie Manuel (manager) years (2005-2013), immediately preceding the current playoff drought, comprise a great era in Philadelphia's baseball history. Under Manuel, the Phillies made the playoffs five straight seasons (including that '08 World Series title), had first baseman Ryan Howard named NL Rookie of the Year in 2005 and then NL MVP the following year in 2006, shortstop Jimmy Rollins named NL MVP in 2007, and pitcher Roy Halladay named NL Cy Young Award winner in 2010. Unfortunately, the team hasn't been the same since Manuel's firing during the 2013 season.\n\nAt the time of writing this review, the Phillies have an all-time win percentage of .472 (9,853 wins against 11,032 losses).",2021-02-12 20:10:07,3,10,3,fake,0.1656926406926406,0,1,1,1,1.0,1,1
j14WgRoU_-2ZE1aw1dXrJg,Ez_VZ6uSsna2r9tGKbWbKA,"We stayed at the Courtyard by Marriott Philadelphia Plymouth Meeting and really enjoyed our stay. Everyone at the hotel seemed nice, especially Kim, the lady who checked us in. Kim set the tone and was really welcoming and affable. The hotel and amenities were nice considering the tier of hotel and price paid. We were part of a wedding block and were charged $119.90 per night after taxes. Not bad.\n\nIf you're not familiar with Philadelphia, this hotel is located in the suburbs northwest of town. There's plenty of free parking and the hotel is located within walking distance of a big shopping mall, Plymouth Meeting Mall, that is anchored in part by a Whole Foods. Aside from the mall, if you don't have a car, you're going to have to Lyft/Uber to get anywhere.\n\nThis Courtyard by Marriott is four stories. Our room was 335 on the 3rd floor. It was a ""KSOF"" (king with sofa bed) room with a view of the parking lot and office building to the north. The hotel is surrounded by several office buildings so I suspect a lot of business travelers stay here to work at those buildings.\n\nFrom the outside, the hotel looks like your standard Courtyard by Marriott. Inside, it looks like some renovation work has been done. The place was clean and looked fairly modern. While there's no full-service restaurant or shop, there is a fast-casual counter where you can order made-to-order food and drinks, a small retail corner with grab-and-go items, some dining and lounge-like areas, and a business center of sorts. There's also an indoor pool, hot tub, and gym. The gym is tiny. Outside in the back is a little courtyard with nice landscaping and additional seating. It's worth exploring and checking out.\n\nWhen we checked in, Kim handed us two bottles of water and two Peanut Chews, delicious candy bars that are manufactured in Pennsylvania.\n\nOur room was clean and comfy, and contemporary in design. The toiletries, such as the shampoo, conditioner, and body wash, were Paul Mitchell Tea Tree brand. The bathroom had a standard tub and shower with a floor that was tastefully tiled. The bed was very comfortable, from the soft-yet-firm mattress to the silky-smooth and smell-good sheets. There was an artsy-looking couch (sofa bed) with a conveniently-angled end table. The office desk was extendable which was great for more surface space. The TV was a smart TV with apps like Netflix and YouTube installed. There was a coffee maker, iron and ironing board, luggage rack, and hair dryer. The Wi-Fi was free and fast enough. And there was free, self-serve, tasty coffee and fruit-flavored ice water in the lobby.\n\nStandard check-in time is 3pm and check-out is 12pm. I used the Marriott Bonvoy app to keep track of my reservation and make an early check-in (12pm) request. The hotel (Kim) was quick to respond to my chat messages in the app and she remembered me from our chat conversation when I showed up in person to check-in. I like how they stay on top of that. Saturday night, when the lobby was used for the wedding after-party, I called in a request for additional toiletries and housekeeping was reasonably quick to respond despite the craziness going on downstairs. I appreciated that.\n\nOverall, I think this is a very good mid-tier hotel. I recommend it.",2019-11-09 16:09:49,4,5,1,genuine,0.2553625541125541,1,1,1,1,1.0,1,1
2WnXYQFK0hXEoTxPtV2zvg,vILRJrV_Qxhroxgn4_cstw,"I love this place. I found it on yelp while in reno this past weekend. This has to be one of the best little places to have breakfast.\n\nIts located in a tiny strip mall next to a bar. There are limited indoor seats so come earlier or you might have to take your food to go.\n\nI had the ""special"" which was a rendition of eggs benedict. a piece of crispy toast, topped with a nice piece of ham which was topped with 2 over easy eggs. Instead of hollandaise sauce there was a great chorizo gravy covering the eggs. It was marvelous. It was probably the best breakfast I have had in years if not ever. My bf had the el jefe which was just a breakfast burrito with chorizo, bacon, ham, eggs and fresh salsa verde. \n\nBoth dishes were spectacular. To top it off they serve coffee, fresh baked ham and cheese scones, croissants and even have gelato. The service was great also. The young lady was very attentive, nice and made us feel comfortable even though we were obvious out of townies.\n\nTry this place out if you're in the area. You won't be disappointed",2010-12-21 01:06:38,5,2,0,genuine,0.3420619047619047,1,0,1,1,1.0,1,1
2WnXYQFK0hXEoTxPtV2zvg,U2Mu_s4oP4rb3jtCHaxs1w,"Came back here today with some friends and once again this place is nothing but amazing. Some of my friends are picky when it comes to food but everyone thoroughly enjoyed their breakfast! I highly recommended the 5th street benedict which I got last time and it didn't fail to impress my friends. The sandwiches were amazing and this time we finally got to get some chocolate croissants and ham & cheese scones. Once again, the service was great. Super friendly and made everyone feel comfortable. I'm so glad that we got the chance to come back here for breakfast because I probably won't be back in the area till next year (at the soonest that is).. I'll definitely miss the great breakfast that they serve here..\n\nCome to San Jose and open up a location here!! Thanks in advance haha.",2011-01-02 02:31:37,5,2,0,genuine,0.2425396825396825,1,0,1,1,1.0,1,1
