_id,user_id,name,review_count,useful,average_stars,review_id,stars,useful_review,text,date,time
65ddcc66fa4711915dcb2fd0,E9kcWJdJUHuTKfQurPljwA,Mike,358,399,3.73,WUFTnp3kvJx4tj0zYa5MMw,1,3,Out of town for the month and was craving a pizza. I was staying at the Hilton Garden Inn near the airport and called this Papa John's around 10pm. They couldn't deliver my pizza because of a high robbery alert in the area.. well... :(,2013-05-30,03:33:39
65ddcc66fa4711915dcb2fd4,AUi8MPWJ0mLkMfwbui27lg,John,109,154,3.4,bWvkkaY3xisrurrkuRQ0tQ,1,1,"Honestly was excited to find an iron chef place in Philly.  I knew I would have to wait to get in but that is something you are used to when it comes to ""hot spot"" eating.   There was over a 2 hour wait which is not great but still doable.  What was unacceptable was the hostess at the front.  She was flat out rude, could care less about the customer.   No I am sorry about the wait or have a drink at the bar or anything. She never even asked if we wanted to put our name in like most other places in the area.   Someone should coach her to tell her she works in the service industry.  \n\nShame just a pure shame this hostess is the experience she gives customers when they go there to have an Iron Chef experience.",2013-11-24,14:36:29
65ddcc66fa4711915dcb302a,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,OmnYgyX2iETXlUN8rYhLnA,1,8,"My bf and I just ordered takeout from Honey's. The person who took our order was extremely RUDE and SHORT with us. Granted, it was close to their closing time, but not THAT close where anyone should have had an attitude about it. If that's the case, tell us you're closed!!!!   \n\nHoney's is getting beside themselves now because of their so-called popularity. They need to remember that it was the CUSTOMERS who made it so. (Especially YELPERS.)\n\nWe didn't appreciate the sarcastic and ""smart-alecky"" tone the cashier took with us.",2010-11-28,21:54:34
65ddcc66fa4711915dcb302f,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,s1MrpcQpdQEc75QjjUEA3Q,1,1,"I must be a glutton for punishment. I gave Larry's another chance and it actually became my ""go to"" place when I want a chicken cheesesteak...... until today.   Larry's gave me a serious case of food poisoning a few years back that left me sick and on a specialized diet for about a month.  Fast forward to today. I had a chicken cheesesteak for lunch, and I can feel the makings of another illness coming on.  Something is definitely not right abut this place.",2017-04-20,02:05:09
65ddcc66fa4711915dcb3032,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,l77oQneNdxj4IUhusXqWGA,1,8,"I'm going to try to be as gentle as I can with this review.  I went to Total Serenity yesterday for a massage, and it was a horrific experience.  I'm trying to be gentle, because the woman who took care of me seemed to be somewhat nice. However, she has absolutely NO EXPERIENCE with professional massage. I get better backrubs from my 7 year old niece.\n\nI would have to agree with one of the other people who posted before me who said that the masseuse had no technique, just straight up and down rubs.  At first, I thought this was just her way of prepping or warming up my muscles. I kept thinking to myself,""Okay, NOW the real massage will begin!!"" LOL. Well, after saying that about 20-30 times, I knew this woman didn't know the first thing about a REAL massage. This made me mad, because my back and neck were full of stress knots.\n\nWell, the worst was yet to come.  She moved on to my legs and started doing some crazy technique that made me want to yell out in pain!!!  I get massages fairly often at other places, so I'm pretty sure she was doing it WRONG. Every person who ever massaged my calves and thighs did it in a relaxing way to get the kinks out.\n\nOn top of that, I think this woman had a BUTT FETISH!!!  LOL. I'm laughing right now, but I wasn't laughing yesterday.  As she massaged my thighs, she made sure to end each stroke with a handful of my butt.Each time, she stroked it slow and sensually, almost like she thought it was turning me on!  EWWW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  I don't want that kind of massage from a woman!!!  It was sooo unbelievably uncomfortable.  \n\nI felt bad, because my bf gave me the massage as one of my birthday gifts, and instead of leaving the salon relaxed and refreshed, I felt even more tense and stressed from clenching my butt cheeks every time her hand grazed and caressed it. When it was over, I couldn't get to the exit FAST ENOUGH!! lol. To add insult to injury, she had the nerve to hand me an empty envelope, indicating that she was expecting to get a tip.  Well, I ended up tipping her a few dollars, because in the end, I usually DO tip people when I receive any kind of service. Trust me, I would have rather kept that money in my wallet. \n\nI understand that for some people, the butt massage is no big deal, but I would have preferred to be asked. Don't just grab it and HAVE AT IT without my permission. This experience has me so jaded, that I doubt I will ever go to a spa for a massage again. I'll stick to Massage Envy and places in the mall. They do a better job anyway and for much less money.\n\nOh, and forget about trying to get an appointment here. It took me two weeks to get mine, because no one answered the phone during business hours, and then when you leave a message, no one calls you back!\n\nDo yourself a favor, don't go to Total Serenity for a massage. I can't speak on their other services, but massages are definitely not their forte'.",2011-07-08,21:39:56
65ddcc66fa4711915dcb3037,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,9cPGBGiy7Yjq5jTTvK3NFw,1,6,"This will be my final update on Larry's. Found out that the chicken cheesesteak I ate gave me E.Coli food poisoning!!!!!!!!!!!!!!!!!!!!!!!!!!!  My fiance' was also sick.  I'm not sure if it was just a bad day for them or not, but I thought I should let everyone know. Larry's is obviously doing SOMETHING wrong! I will spare you the details on what I had to do to find out what was wrong with me from my doctor.  I have never been this sick before from something I ate.",2010-04-30,15:51:13
65ddcc66fa4711915dcb3038,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,GEmufFHkZxqMCMtuJh98SQ,1,0,"Just had a horrible lunch here. Ordered the Salmon Bento box. The servers brought everything in the wrong order, totally screwing up my meal. First they brought my salmon and mashed potatoes. Then they brought my asparagus. Then they brought my salad. Then they brought my soup. The salmon and potatoes were cold. The asparagus was on a dirty plate with hard egg yolk on it. The soup came about 10 minutes into the meal and tasted horrible.  The salad was the best part. \n\nI left the restaurant hungry and dissatisfied. Ended up having Chick Fil A for lunch.",2018-07-23,21:53:18
65ddcc66fa4711915dcb303d,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,PCmn7qpuGKKOzVlJEche3Q,1,5,"Just left Honey Grow and stopped at the condiment counter to get forks and sauces, and noticed one of their employees was on my heels.  At first I thought she was trying to get past me so I stepped aside.  When it became apparent she wasn't, I continued getting my sauces and forks. That's when it hit me. The drink machine is over here. She's trying to make sure I'm not taking a free drink.  Well... IDIOT, I didn't even have a CUP, so there was no need to stand so close to me that I could feel your breath on my back.\n\nManagers of Honey Grow... you have GOT to come up with a better form of security than this. If you are that protective over your soda machine, put it behind the counter. This was intrusive, insulting and annoying. I just spent $40 in your restaurant, but will never spend another penny there. Keep your soda.",2018-08-02,21:21:18
65ddcc66fa4711915dcb3045,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,l9026FiEseGAyTpeh4LnPA,1,1,"Ok... I had to update again because it's now 4 days later, and I'm still sick!!!!!!!!!!!!!!!  This is crazy... a serious case of food poisoning.",2010-04-23,01:50:27
65ddcc66fa4711915dcb3047,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,2.95,0CmqAMTvBAYHZQIAbf-DJA,1,2,"Okay, Two DAYS later and I'm still feeling the effects of that cheesesteak. Why?? Did they cook my chicken cheesesteak on a dirty grill that had remnants of pork juice on it, maybe??  I am in bed BALLED UP right now.  \n\n Larry's..... I hate you!!!",2010-04-21,01:55:01
